Water System Name,Source,County,Testing Date,PFAS Measured,Result,State Action Level (SAL),Calculation_result_range_bins_text
CRISTALINA,2,King,5/2/2023,(PFOA) PFoctanoic acid,3.9ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL)
CRISTALINA,3,King,5/2/2023,(PFOA) PFoctanoic acid,3.9ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL)
CRISTALINA,1,King,5/2/2023,(PFOA) PFoctanoic acid,4.1ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL)
CRISTALINA,1,King,5/2/2023,(PFOS) PFoctane sulfonic acid,2.6ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL)
CRISTALINA,3,King,5/2/2023,(PFOS) PFoctane sulfonic acid,2.7ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL)
CRISTALINA,2,King,5/2/2023,(PFOS) PFoctane sulfonic acid,2.8ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL)
CRISTALINA,2,King,5/2/2023,(PFPeA) PFpentanoic acid,5.1ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
CRISTALINA,3,King,5/2/2023,(PFPeA) PFpentanoic acid,5.2ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
CRISTALINA,1,King,5/2/2023,(PFPeA) PFpentanoic acid,5ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
CRISTALINA,3,King,9/18/2023,(PFBS) PFbutane sulfonic acid,3ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL)
CRISTALINA,3,King,9/18/2023,(PFHxA) PFhexanoic acid,2.2ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
CRISTALINA,3,King,9/18/2023,(PFOA) PFoctanoic acid,2.4ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL)
CRISTALINA,3,King,9/18/2023,(PFOS) PFoctane sulfonic acid,2.5ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL)
CRISTALINA,3,King,9/18/2023,(PFPeA) PFpentanoic acid,3.2ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
CRISTALINA,3,King,11/14/2023,(PFBS) PFbutane sulfonic acid,3.7ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL)
CRISTALINA,3,King,11/14/2023,(PFOA) PFoctanoic acid,2.9ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL)
CRISTALINA,3,King,11/14/2023,(PFOS) PFoctane sulfonic acid,2.5ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL)
CRISTALINA,3,King,11/14/2023,(PFPeA) PFpentanoic acid,3.1ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
CRISTALINA,3,King,2/13/2024,(PFBS) PFbutane sulfonic acid,4.7ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL)
CRISTALINA,3,King,2/13/2024,(PFHpA) PFheptanoic acid,2.1ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
CRISTALINA,3,King,2/13/2024,(PFHxA) PFhexanoic acid,3.3ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
CRISTALINA,3,King,2/13/2024,(PFOA) PFoctanoic acid,5ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL)
CRISTALINA,3,King,2/13/2024,(PFOS) PFoctane sulfonic acid,3.2ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL)
CRISTALINA,3,King,2/13/2024,(PFPeA) PFpentanoic acid,5.6ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
ARTONDALE,4,Pierce,8/2/2023,(6:2FTS) H-PFoctane sulfonic acid,2.6ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
ARTONDALE,17,Pierce,8/2/2023,(PFBA) PFbutanoic acid,4.2ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
ARTONDALE,4,Pierce,8/2/2023,(PFBA) PFbutanoic acid,4.8ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
ARTONDALE,4,Pierce,8/2/2023,(PFBS) PFbutane sulfonic acid,10.6ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL)
ARTONDALE,5,Pierce,8/2/2023,(PFBS) PFbutane sulfonic acid,17.1ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL)
ARTONDALE,17,Pierce,8/2/2023,(PFBS) PFbutane sulfonic acid,29.1ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL)
ARTONDALE,4,Pierce,8/2/2023,(PFBS) PFbutane sulfonic acid,30.7ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL)
ARTONDALE,17,Pierce,8/2/2023,(PFHpA) PFheptanoic acid,3.9ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
ARTONDALE,4,Pierce,8/2/2023,(PFHpA) PFheptanoic acid,4.6ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
ARTONDALE,17,Pierce,8/2/2023,(PFHxA) PFhexanoic acid,13.8ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
ARTONDALE,4,Pierce,8/2/2023,(PFHxA) PFhexanoic acid,15.2ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
ARTONDALE,4,Pierce,8/2/2023,(PFHxA) PFhexanoic acid,4.8ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
ARTONDALE,5,Pierce,8/2/2023,(PFHxA) PFhexanoic acid,6.3ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
ARTONDALE,4,Pierce,8/2/2023,(PFHxS) PFhexane sulfonic acid,16.7ng/L,65ng/L,PFAS Detected: Lower than State Action Level (SAL)
ARTONDALE,5,Pierce,8/2/2023,(PFHxS) PFhexane sulfonic acid,27.9ng/L,65ng/L,PFAS Detected: Lower than State Action Level (SAL)
ARTONDALE,17,Pierce,8/2/2023,(PFHxS) PFhexane sulfonic acid,46.4ng/L,65ng/L,PFAS Detected: Lower than State Action Level (SAL)
ARTONDALE,4,Pierce,8/2/2023,(PFHxS) PFhexane sulfonic acid,52.5ng/L,65ng/L,PFAS Detected: Lower than State Action Level (SAL)
ARTONDALE,5,Pierce,8/2/2023,(PFOA) PFoctanoic acid,2.9ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL)
ARTONDALE,17,Pierce,8/2/2023,(PFOA) PFoctanoic acid,5.1ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL)
ARTONDALE,4,Pierce,8/2/2023,(PFOA) PFoctanoic acid,5.4ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL)
ARTONDALE,17,Pierce,8/2/2023,(PFOS) PFoctane sulfonic acid,108ng/L,15ng/L,PFAS Detected: At or Exceeding State Action Level (SAL)
ARTONDALE,4,Pierce,8/2/2023,(PFOS) PFoctane sulfonic acid,116ng/L,15ng/L,PFAS Detected: At or Exceeding State Action Level (SAL)
ARTONDALE,4,Pierce,8/2/2023,(PFOS) PFoctane sulfonic acid,39ng/L,15ng/L,PFAS Detected: At or Exceeding State Action Level (SAL)
ARTONDALE,5,Pierce,8/2/2023,(PFOS) PFoctane sulfonic acid,63.2ng/L,15ng/L,PFAS Detected: At or Exceeding State Action Level (SAL)
ARTONDALE,17,Pierce,8/2/2023,(PFPeA) PFpentanoic acid,11ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
ARTONDALE,4,Pierce,8/2/2023,(PFPeA) PFpentanoic acid,13.3ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
ARTONDALE,4,Pierce,8/2/2023,(PFPeA) PFpentanoic acid,3.8ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
ARTONDALE,5,Pierce,8/2/2023,(PFPeA) PFpentanoic acid,4.6ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
ARTONDALE,17,Pierce,8/2/2023,(PFPeS) PFpentanesulfonic acid,14.8ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
ARTONDALE,4,Pierce,8/2/2023,(PFPeS) PFpentanesulfonic acid,18ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
ARTONDALE,4,Pierce,8/2/2023,(PFPeS) PFpentanesulfonic acid,5.2ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
ARTONDALE,5,Pierce,8/2/2023,(PFPeS) PFpentanesulfonic acid,7.8ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
ARTONDALE,18,Pierce,8/28/2023,(PFBS) PFbutane sulfonic acid,2.5ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL)
Auburn City of,3,King,6/8/2023,(PFBS) PFbutane sulfonic acid,2.8ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL)
Auburn City of,1,King,6/8/2023,(PFBS) PFbutane sulfonic acid,3.1ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL)
Auburn City of,2,King,6/8/2023,(PFBS) PFbutane sulfonic acid,3ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL)
MCKENNA WATER DISTRICT,1,Pierce,9/18/2024,(PFOS) PFoctane sulfonic acid,4.1ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL)
ORTING 15,1,Pierce,3/9/2022,(PFBS) PFbutane sulfonic acid,5ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL)
ORTING 15,1,Pierce,3/9/2022,(PFHxA) PFhexanoic acid,2.3ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
ORTING 15,1,Pierce,3/9/2022,(PFHxS) PFhexane sulfonic acid,7.8ng/L,65ng/L,PFAS Detected: Lower than State Action Level (SAL)
ORTING 15,1,Pierce,3/9/2022,(PFOS) PFoctane sulfonic acid,5.1ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL)
ORTING 15,1,Pierce,3/9/2022,(PFPeS) PFpentanesulfonic acid,3ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
ORTING 15,1,Pierce,8/21/2023,(PFHxS) PFhexane sulfonic acid,2ng/L,65ng/L,PFAS Detected: Lower than State Action Level (SAL)
ORTING 15,1,Pierce,8/21/2023,(PFOS) PFoctane sulfonic acid,2.2ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL)
ORTING 15,1,Pierce,9/27/2023,(PFHxS) PFhexane sulfonic acid,2.4ng/L,65ng/L,PFAS Detected: Lower than State Action Level (SAL)
ORTING 15,1,Pierce,9/27/2023,(PFOS) PFoctane sulfonic acid,3.1ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL)
ORTING 15,1,Pierce,11/28/2023,(PFOS) PFoctane sulfonic acid,2.4ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL)
ORTING 15,1,Pierce,2/13/2024,(PFBS) PFbutane sulfonic acid,6ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL)
ORTING 15,1,Pierce,2/13/2024,(PFHxA) PFhexanoic acid,3.5ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
ORTING 15,1,Pierce,2/13/2024,(PFHxS) PFhexane sulfonic acid,8.1ng/L,65ng/L,PFAS Detected: Lower than State Action Level (SAL)
ORTING 15,1,Pierce,2/13/2024,(PFOS) PFoctane sulfonic acid,5.1ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL)
ORTING 15,1,Pierce,2/13/2024,(PFPeA) PFpentanoic acid,2.5ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
ORTING 15,1,Pierce,2/13/2024,(PFPeS) PFpentanesulfonic acid,2.8ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
CANTERWOOD WATER SYSTEM,3,Pierce,9/17/2024,(PFBS) PFbutane sulfonic acid,2.5ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL)
CANTERWOOD WATER SYSTEM,2,Pierce,9/17/2024,(PFBS) PFbutane sulfonic acid,3.4ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL)
CANTERWOOD WATER SYSTEM,1,Pierce,9/17/2024,(PFBS) PFbutane sulfonic acid,3.6ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL)
CANTERWOOD WATER SYSTEM,2,Pierce,9/17/2024,(PFPeA) PFpentanoic acid,2ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
CANTERWOOD WATER SYSTEM,2,Pierce,12/17/2024,(PFBS) PFbutane sulfonic acid,4.3ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL)
CANTERWOOD WATER SYSTEM,1,Pierce,12/17/2024,(PFBS) PFbutane sulfonic acid,4.8ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL)
CANTERWOOD WATER SYSTEM,1,Pierce,12/17/2024,(PFPeA) PFpentanoic acid,2.2ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
CANTERWOOD WATER SYSTEM,2,Pierce,12/17/2024,(PFPeA) PFpentanoic acid,2.4ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
BETHEL WATER CO,1,Pierce,11/29/2023,(PFBS) PFbutane sulfonic acid,5.1ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL)
BETHEL WATER CO,2,Pierce,11/29/2023,(PFBS) PFbutane sulfonic acid,5.2ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL)
BETHEL WATER CO,4,Pierce,11/29/2023,(PFBS) PFbutane sulfonic acid,6.3ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL)
BETHEL WATER CO,4,Pierce,11/29/2023,(PFHxA) PFhexanoic acid,2.4ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
BETHEL WATER CO,1,Pierce,11/29/2023,(PFHxA) PFhexanoic acid,3.4ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
BETHEL WATER CO,4,Pierce,11/29/2023,(PFOA) PFoctanoic acid,3.1ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL)
BETHEL WATER CO,1,Pierce,11/29/2023,(PFOA) PFoctanoic acid,3.3ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL)
BETHEL WATER CO,2,Pierce,11/29/2023,(PFOA) PFoctanoic acid,3.9ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL)
BETHEL WATER CO,2,Pierce,11/29/2023,(PFOS) PFoctane sulfonic acid,3.5ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL)
BETHEL WATER CO,4,Pierce,11/29/2023,(PFOS) PFoctane sulfonic acid,4.4ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL)
BETHEL WATER CO,1,Pierce,11/29/2023,(PFOS) PFoctane sulfonic acid,4ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL)
BETHEL WATER CO,4,Pierce,11/29/2023,(PFPeA) PFpentanoic acid,2.6ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
BETHEL WATER CO,2,Pierce,7/19/2024,(PFBS) PFbutane sulfonic acid,6.7ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL)
BETHEL WATER CO,3,Pierce,7/19/2024,(PFBS) PFbutane sulfonic acid,7.4ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL)
BETHEL WATER CO,1,Pierce,7/19/2024,(PFBS) PFbutane sulfonic acid,7.7ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL)
BETHEL WATER CO,4,Pierce,7/19/2024,(PFBS) PFbutane sulfonic acid,7.8ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL)
BETHEL WATER CO,2,Pierce,7/19/2024,(PFHxA) PFhexanoic acid,2.4ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
BETHEL WATER CO,3,Pierce,7/19/2024,(PFHxA) PFhexanoic acid,2.4ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
BETHEL WATER CO,1,Pierce,7/19/2024,(PFHxA) PFhexanoic acid,2.5ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
BETHEL WATER CO,4,Pierce,7/19/2024,(PFHxA) PFhexanoic acid,2.6ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
BETHEL WATER CO,3,Pierce,7/19/2024,(PFOA) PFoctanoic acid,2.7ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL)
BETHEL WATER CO,2,Pierce,7/19/2024,(PFOA) PFoctanoic acid,3.1ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL)
BETHEL WATER CO,4,Pierce,7/19/2024,(PFOA) PFoctanoic acid,3.4ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL)
BETHEL WATER CO,1,Pierce,7/19/2024,(PFOA) PFoctanoic acid,3.5ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL)
BETHEL WATER CO,2,Pierce,7/19/2024,(PFOS) PFoctane sulfonic acid,4.8ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL)
BETHEL WATER CO,1,Pierce,7/19/2024,(PFOS) PFoctane sulfonic acid,5.8ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL)
BETHEL WATER CO,3,Pierce,7/19/2024,(PFOS) PFoctane sulfonic acid,5.8ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL)
BETHEL WATER CO,4,Pierce,7/19/2024,(PFOS) PFoctane sulfonic acid,5.9ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL)
BETHEL WATER CO,3,Pierce,7/19/2024,(PFPeA) PFpentanoic acid,2.3ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
BETHEL WATER CO,2,Pierce,7/19/2024,(PFPeA) PFpentanoic acid,2.6ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
BETHEL WATER CO,4,Pierce,7/19/2024,(PFPeA) PFpentanoic acid,2.8ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
BETHEL WATER CO,1,Pierce,7/19/2024,(PFPeA) PFpentanoic acid,3.2ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
BETHEL WATER CO,1,Pierce,12/2/2024,(PFBS) PFbutane sulfonic acid,5.5ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL)
BETHEL WATER CO,2,Pierce,12/2/2024,(PFBS) PFbutane sulfonic acid,6.2ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL)
BETHEL WATER CO,4,Pierce,12/2/2024,(PFBS) PFbutane sulfonic acid,6.3ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL)
BETHEL WATER CO,3,Pierce,12/2/2024,(PFBS) PFbutane sulfonic acid,7.1ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL)
BETHEL WATER CO,2,Pierce,12/2/2024,(PFHxA) PFhexanoic acid,2.3ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
BETHEL WATER CO,3,Pierce,12/2/2024,(PFHxA) PFhexanoic acid,2.5ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
BETHEL WATER CO,4,Pierce,12/2/2024,(PFHxA) PFhexanoic acid,3.1ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
BETHEL WATER CO,1,Pierce,12/2/2024,(PFHxA) PFhexanoic acid,4.3ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
BETHEL WATER CO,2,Pierce,12/2/2024,(PFOA) PFoctanoic acid,2.5ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL)
BETHEL WATER CO,3,Pierce,12/2/2024,(PFOA) PFoctanoic acid,2.5ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL)
BETHEL WATER CO,4,Pierce,12/2/2024,(PFOA) PFoctanoic acid,2.5ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL)
BETHEL WATER CO,1,Pierce,12/2/2024,(PFOA) PFoctanoic acid,3.2ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL)
BETHEL WATER CO,2,Pierce,12/2/2024,(PFOS) PFoctane sulfonic acid,4.6ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL)
BETHEL WATER CO,3,Pierce,12/2/2024,(PFOS) PFoctane sulfonic acid,4.6ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL)
BETHEL WATER CO,4,Pierce,12/2/2024,(PFOS) PFoctane sulfonic acid,4.7ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL)
BETHEL WATER CO,1,Pierce,12/2/2024,(PFOS) PFoctane sulfonic acid,5.2ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL)
BETHEL WATER CO,2,Pierce,12/2/2024,(PFPeA) PFpentanoic acid,2.1ng/L,None,PFAS Detected: Lower than State Action Level (SAL)
